Day,Date,Points
Monday,"November 18, 2023",18
Tuesday,"November 19, 2023",6
Wed,"November 20, 2023",3
Thurs,"November 21, 2023",2
Friday,"November 22, 2023",8
Saturday,"November 17, 2023",5
